date,client,library,frequency
2017-05-15,desktop,Paper.js,27
2017-05-15,desktop,Pixi.js,113
2017-05-15,desktop,Polymer,116
2017-05-15,desktop,Popcorn.js,23
2017-05-15,desktop,Prototype,9164
2017-05-15,desktop,Pusher,782
2017-05-15,desktop,Qooxdoo,13
2017-05-15,desktop,React,1936
2017-05-15,desktop,RequireJS,7485
2017-05-15,desktop,Rico,8
2017-05-15,desktop,RightJS,4
2017-05-15,desktop,Riot,118
2017-05-15,desktop,SPF,28
2017-05-15,desktop,SWFObject,22482
2017-05-15,desktop,Sammy,2
2017-05-15,desktop,Scriptaculous,1829
2017-05-15,desktop,ScrollMagic,1219
2017-05-15,desktop,Sea.js,501
2017-05-15,desktop,Socket.IO,1788
2017-05-15,desktop,Spine,36
2017-05-15,desktop,SproutCore,65
2017-05-15,desktop,Spry,24
2017-05-15,desktop,Swiffy,220
2017-05-15,desktop,Tween.js,256
2017-05-15,desktop,Two,3
2017-05-15,desktop,Underscore,19311
2017-05-15,desktop,Vaadin,5
2017-05-15,desktop,Velocity.js,1135
2017-05-15,desktop,Visibility.js,165
2017-05-15,desktop,Vue,864
2017-05-15,desktop,WebFont Loader,10861
2017-05-15,desktop,YUI 2,7955
2017-05-15,desktop,YUI 3,2568
2017-05-15,desktop,Zepto.js,1376
2017-05-15,desktop,Zurb,7457
2017-05-15,desktop,base2,166
2017-05-15,desktop,gRapha&euml;l,3
2017-05-15,desktop,jQuery,394157
2017-05-15,desktop,jQuery Mobile,9053
2017-05-15,desktop,jQuery Tools,12828
2017-05-15,desktop,jQuery UI,103125
2017-05-15,desktop,three.js,268
2017-05-15,desktop,yepnope,53807
2017-05-15,mobile,,1
2017-05-15,mobile,AmplifyJS,286
2017-05-15,mobile,Angular,181
2017-05-15,mobile,AngularJS,9662
2017-05-15,mobile,Backbone,8515
2017-05-15,mobile,Blackbird,248
2017-05-15,mobile,Bootstrap,61675
2017-05-15,mobile,Brewser,1
2017-05-15,mobile,CamanJS,24
2017-05-15,mobile,Can,131
2017-05-15,mobile,Closure Library,196
2017-05-15,mobile,ControlJS,15
2017-05-15,mobile,CreateJS,2854
2017-05-15,mobile,D3,1179
2017-05-15,mobile,DC.js,3
2017-05-15,mobile,Dojo,1154
2017-05-15,mobile,Ember.js,276
2017-05-15,mobile,Ext JS,522
2017-05-15,mobile,Fabric.js,103
2017-05-15,mobile,FastClick,10562
2017-05-15,mobile,FlexSlider,37984
2017-05-15,mobile,FlotCharts,888
2017-05-15,mobile,FuseJS,16
2017-05-15,mobile,GWT,817
2017-05-15,mobile,Glow,14
2017-05-15,mobile,Google Maps,15620
2017-05-15,mobile,Greensock JS,10138
2017-05-15,mobile,Hammer.js,6873
2017-05-15,mobile,Handlebars,5270
2017-05-15,mobile,Head JS,1730
2017-05-15,mobile,Highcharts,1773
